pedigree,env,gy,ph,dy
A01021,20CS,7394.176,129.54,88
A01046,20CS,5631.947,100.33,91.5
A01362,20CS,5815.043,106.68,94.5
A03017,20CS,5815.813,116.84,89.5
A03032,20CS,5672.452,87.63,91.5
A03040,20CS,5673.863,132.08,88.5
A03043,20CS,4458.578,114.3,93.5
A03054,20CS,5575.743,99.06,89
A03055,20CS,5264.788,99.06,91
A03089,20CS,4195.453,118.11,96
A03093,20CS,6230.896,111.76,89
A03121,20CS,6095.557,111.76,89.5
A05071,20CS,4465.983,110.49,89
A05210,20CS,6412.349,135.89,92.5
A05269,20CS,5914.47,119.38,93.5
A06035,20CS,5098.271,105.41,89.5
A06036,20CS,4282.9,101.6,91
A07118,20CS,5575.112,106.68,90.5
A07124,20CS,5886.785,113.03,87
A08068,20CS,4325.169,99.06,91
A08134,20CS,5992.413,128.27,85.5
A08140,20CS,5542.311,93.98,90
A08158,20CS,5326.202,128.27,92
A11076,20CS,5571.573,101.6,92
A11085,20CS,5190.244,123.19,89
AHF14,20CS,5863.759,118.11,88
AKS116,20CS,3974.688,101.6,85.5
AKS117,20CS,4208.312,99.06,90
AKS118,20CS,5071.657,116.84,89.5
AKS119,20CS,4125.076,125.73,90.5
AKS120,20CS,4900.189,128.27,89
AN263,20CS,4505.866,100.33,97.5
AN268,20CS,3910.237,96.52,84
AN290,20CS,4861.645,86.36,91
ATx2921,20CS,5121.407,119.38,89
ATx2923,20CS,5867.626,111.76,92
ATx2924,20CS,6267.819,118.11,89.5
ATx2926,20CS,4699.147,118.11,93.5
ATx2927,20CS,6154.028,113.03,91
ATx2930,20CS,5107.294,119.38,85.5
ATx2931,20CS,5807.6,91.44,95.5
ATx2934,20CS,5181.1,101.6,93.5
ATx3408,20CS,6051.794,115.57,94.5
ATx3409,20CS,5397.8,109.22,94
ATx644,20CS,4062.564,106.68,86.5
R01302,20CS,6080.03,107.95,88.5
R02107,20CS,4046.656,114.3,89
R03248,20CS,6947.663,114.3,90
R04060,20CS,7817.774,118.11,91
R04104,20CS,5782.492,111.76,89
R05330,20CS,5939.423,124.46,90
R05386,20CS,5624.89,95.25,92.5
R05393,20CS,5718.529,101.6,92
R05405,20CS,5489.786,102.87,93
R05425,20CS,5302.522,106.68,88
R05512,20CS,5062.531,105.41,94.5
R07161,20CS,7007.642,128.27,89.5
R07178,20CS,6536.818,105.41,91
R08224,20CS,5517.507,130.81,94.5
R08297,20CS,5041.117,100.33,93
R08303,20CS,5645.858,85.09,93.5
R08304,20CS,6157.378,139.7,93.5
R08306,20CS,6274.063,97.79,89
R11158,20CS,6176.764,127,89
R11208,20CS,6206.249,91.44,93.5
R12071,20CS,7566.303,114.3,84.5
R12145,20CS,6345.562,111.76,93.5
R12148,20CS,5553.313,104.14,92
R12154,20CS,6838.026,119.38,89
R12156,20CS,6516.739,109.22,96
R12157,20CS,5540.699,116.84,93.5
RTx2912,20CS,4271.748,109.22,97
RTx2913,20CS,7061.062,132.08,92.5
RTx2914,20CS,5014.181,129.54,91
RTx2916,20CS,5132.66,116.84,93.5
RTx2917,20CS,5368.968,100.33,91.5
RTx2918,20CS,6673.6,101.6,93.5
RTx2919,20CS,5389.593,113.03,94.5
RTx2920,20CS,4648.362,85.09,88
RTx2935,20CS,6687.136,102.87,93.5
RTx2936,20CS,6738.553,123.19,89
RTx2937,20CS,5400.346,99.06,92.5
RTx2938,20CS,5901.11,105.41,91
RTx2939,20CS,6169.358,127,94.5
RTx2940,20CS,5891.626,102.87,88.5
RTx2941,20CS,3072.099,111.76,99.5
RTx2942,20CS,7161.889,116.84,89
RTx2943,20CS,5891.577,130.81,93.5
RTx2944,20CS,4809.737,106.68,86
